Sessao_Numero,Topicos_Abordados,Duracao_Total_Sessao,Tempo_Exposicao_Tema,Tempo_Exercicios_Fixacao
1,"1. Teoria Musical: Fundamentos da notação, ritmo e harmonia; 1.1. Leitura de Partitura: Habilidade de ler e interpretar símbolos musicais","60 min","35 min (Introdução à teoria musical, conceitos básicos de notação, ritmo e harmonia; Apresentação da leitura de partitura e símbolos musicais.)","25 min (Exercícios de identificação de símbolos musicais básicos; Leitura de exemplos simples de partituras.)"
2,"1.1. Leitura de Partitura (continuação); 1.2. Estrutura Harmônica: Compreensão de acordes e progressões (Introdução)","60 min","35 min (Aprofundamento na leitura de partitura com símbolos mais complexos; Introdução à estrutura harmônica, acordes e progressões.)","25 min (Exercícios de leitura de partituras com diferentes símbolos; Identificação de acordes básicos.)"
3,"1.2. Estrutura Harmônica: Compreensão de acordes e progressões","60 min","35 min (Estudo detalhado de acordes e progressões harmônicas, incluindo tipos de acordes e suas funções.)","25 min (Exercícios de identificação e construção de acordes; Análise de progressões harmônicas em músicas.)"
4,"2. Treinamento Auditivo: Desenvolvimento da percepção e identificação de elementos musicais; 2.1. Reconhecimento de Intervalos: Identificar as distâncias entre as notas","60 min","35 min (Introdução ao treinamento auditivo e sua importância; Apresentação do conceito de intervalos e como identificá-los.)","25 min (Exercícios de reconhecimento de intervalos ascendentes e descendentes.)"
5,"2.1. Reconhecimento de Intervalos (continuação)","60 min","35 min (Aprofundamento no reconhecimento de intervalos maiores, menores, justos, aumentados e diminutos.)","25 min (Exercícios de reconhecimento de todos os tipos de intervalos; Ditado de intervalos.)"
6,"2.2. Ditado Rítmico e Melódico: Transcrição de trechos musicais ouvidos (Introdução)","60 min","35 min (Introdução ao ditado rítmico e melódico; Técnicas para transcrever trechos musicais ouvidos.)","25 min (Exercícios de transcrição de ritmos simples.)"
7,"2.2. Ditado Rítmico e Melódico (continuação)","60 min","35 min (Prática de ditado rítmico com ritmos mais complexos; Introdução ao ditado melódico com melodias simples.)","25 min (Exercícios de transcrição de ritmos e melodias simples.)"
8,"3. História da Música: Estudo da evolução da música através dos tempos; 3.1. Música Clássica: Períodos e compositores importantes (Introdução)","60 min","35 min (Introdução à história da música e sua evolução; Apresentação do período da música clássica e seus principais compositores.)","25 min (Leitura sobre a história da música clássica e audição de exemplos de compositores importantes.)"
9,"3.1. Música Clássica: Períodos e compositores importantes","60 min","35 min (Estudo detalhado dos períodos da música clássica, como Barroco, Clássico e Romântico; Análise de obras de compositores como Bach, Mozart e Beethoven.)","25 min (Audição e análise de obras clássicas; Pesquisa sobre a vida e obra de compositores.)"
10,"3.2. Música Popular: Desenvolvimento de gêneros e estilos (Introdução)","60 min","35 min (Introdução à história da música popular e o desenvolvimento de diferentes gêneros e estilos musicais.)","25 min (Pesquisa e audição de exemplos de diferentes gêneros da música popular.)"
11,"3.2. Música Popular: Desenvolvimento de gêneros e estilos","60 min","35 min (Estudo de gêneros como jazz, blues, rock, pop e suas características; Análise da evolução da música popular.)","25 min (Audição e análise de obras populares; Discussão sobre as influências e características de cada gênero.)"
12,"4. Instrumento Principal: Prática e desenvolvimento de habilidades em um instrumento escolhido; 4.1. Técnica: Exercícios para aprimorar a execução","60 min","35 min (Exercícios de técnica instrumental para aprimorar a execução, incluindo escalas, arpejos e estudos.)","25 min (Prática de exercícios de técnica no instrumento escolhido.)"
13,"4.1. Técnica (continuação); 4.2. Repertório: Estudo de peças musicais variadas (Introdução)","60 min","35 min (Aprofundamento em exercícios de técnica; Apresentação do conceito de repertório e a importância de estudar peças musicais variadas.)","25 min (Prática de exercícios de técnica e estudo de uma peça musical simples.)"
14,"4.2. Repertório: Estudo de peças musicais variadas","60 min","35 min (Estudo de peças musicais variadas de diferentes estilos e níveis de dificuldade; Análise das estruturas e técnicas utilizadas nas peças.)","25 min (Prática de peças musicais escolhidas e análise das técnicas utilizadas.)"
